tweet,label,predict,result
#nowdigesting roasted apple cinnamon sweet potatoes #dangerouslydomestic #singlefilelineladies http://t.co/pgcxl2li,none,none,True
now eating apple with my nephew  :),none,none,True
@nowever i use http://t.co/vnhdnmyv --- not much better  but fixture for +12 years so i'm happy i'm not thrilled with complexities of apple,none,none,True
now everyone is just worried about the ipad they might get or the tv they want to get.,apple,apple,True
now everytime i drink apple juice i think about @_savedatshit,none,none,True
now flipkart needs to double down and release professional-grade apps for android and ios current apps suck.,none,none,True
now for the ipad mini...stay tuned  winner will be announced around noon today.,apple,apple,True
now if dad would pay this damn phone bill i could get the iphone 5,apple,apple,True
now i gota twerk for a new iphone   ,apple,apple,True
now i gotta travel foreiggn for a damn mcflurry and mc chicken and big mac thanks alot.,none,none,True
now i have an ipad  i am beginning to regret my 21character apple id ,apple,none,False
now i have applesauce in the cracks of my iphone,apple,apple,True
now i have found out that on my ipod weirdo is not corrected so must be a real word,apple,apple,True
now i just need a new itouch or iphone :/,apple,apple,True
now i know he ain't about to get no damn iphone &lt &lt  i will set some shit off,apple,apple,True
now  i'll just illegally download it look at what you have done  apple/amazon.,apple,none,False
"now i'm playing ""super tank battle"" i like it@ http://t.co/wn0tvmqt http://t.co/njond2rq",none,none,True
now i'm shopping for a new iphone how do these things happen   ,apple,apple,True
now i need an ipad got a lot of java ebooks to read\85 notebook/laptop is a drag   iphone screen to small,apple,apple,True
now i need an iphone...it would be an excellent birthday present.. :d,apple,none,False
now in my ipod playing #hillsongparis #globalproject,apple,apple,True
now is a good time to refresh everyone's memory on my love for apple juice.,none,none,True
now i see why everyone got a iphone lol,apple,apple,True
now is the time when i miss my blackberry most  transferring music to your iphone is annoying as hell,apple,apple,True
now it's cornflakes tv &amp  ipad time   ,apple,apple,True
now i want big apple donuts or cheesecake hahah hungry -.-,none,none,True
now i want easy mac -_-,none,none,True
#nowlistening fiona apple - across the universe,none,none,True
now my iphone has a place to take a load off  letterpress business card that becomes a chair @creativebloq http://t.co/kncutxfb,apple,apple,True
now my iphone is done maybe i'll go get some work done to it,apple,apple,True
now my ipod won't work -_- you can buy me a new one thankyou  ,apple,apple,True
now officially in bed with apple... i phone 5  stop-it ,apple,none,False
no wonder apple is the biggest company in the world.. \a325 for this http://t.co/lsxpl0sz,apple,none,False
no wonder last night in my dream  power kept repeating on my ipod and i had no idea why the song wouldn't change. it was my alarm..,none,apple,False
now on my iphone    http://t.co/rqr1rl2r,apple,apple,True
now #oomf wanna get a white iphone  lol such a loser,apple,apple,True
no worse feeling than smashing your iphone #heartbroken,apple,apple,True
now own a nice bright yellow nokia lumia :-) shit hotfuck you apple,none,none,True
#nowplaying ac/dc - whole lotta rosie [live] - http://t.co/vzqdizeq on hard as a #rock - on #itunes - #metal #rock,none,none,True
#nowplaying adele \96 don't you remember (live at itunes festival  london 2011) http://www\85 http://t.co/ce6gooqq,none,none,True
#nowplaying adele \96 take it all (live at itunes festival  london 2011)) http://t.co/zgxj9lm9\85 http://t.co/b4tvfqbs,none,none,True
#nowplaying aerosmith - livin on the edge - http://t.co/vzqdizeq on hard as a #rock - on #itunes - #metal #rock,none,none,True
now playing america - sister golden hair - http://t.co/cfxsg2ee - or itunes radio #classicrock #radio,none,none,True
#nowplaying b2st / beast -          (beautiful night) - youtube      (beast) http://t.co/ivcpk44w in ipod app via @twitbird for iphone,none,apple,False
#nowplaying bauhaus - she\'s in parties - http://t.co/edgu2wri on #goth #rock - or on #itunes,none,none,True
#nowplaying bauhaus - telegram sam - http://t.co/tsiymqvw on anarchy &amp  angels - or on #itunes - #punk #70s,none,none,True
#nowplaying bettye lavette - the forecast - http://t.co/dc6buxfr on the #blues connection - on itunes - #soul #rock,none,none,True
#nowplaying bill withers - grandma's hands - http://t.co/dc6buxfr on the #blues connection - on itunes - #soul #rock,none,none,True
#nowplaying black sabbath - ear in the wall - http://t.co/vzqdizeq on hard as a #rock - on #itunes - #metal #rock,none,none,True
now playing bob dylan - like a rolling stone - http://t.co/cfxsg2ee - or itunes radio #classicrock #radio,none,none,True
#nowplaying bon jovi - it's my life - http://t.co/vzqdizeq on hard as a #rock - on #itunes - #metal #rock,none,none,True
now playing bonnie raitt - used to rule the world - http://t.co/cfxsg2ee - or itunes radio #classicrock #radio,none,none,True
#nowplaying boyz n da hood - carbon 15's  a.k.'s &amp  mac 11's,none,none,True
#nowplaying burning gates - dancing in the mirror http://t.co/7w6kwwrk #goth #gothic #itunes,none,none,True
   #nowplaying c4 - oorite  the mixcd 2 (itunes) https://t.co/r4n4cn6c \85 #oorite2outnow  ,none,none,True
now that i have emojis on my ipad its sooo late,apple,apple,True
now that i have my ipad back i don't know what i'd do without it    #mybaby,apple,apple,True
now that i have the galaxy iii kinda wishing i had my iphone 5 back ,apple,apple,True
now that i'm team iphone  i would never go back   ,apple,apple,True
now that i've had my iphone for 11 days i'd never get another blackberry again #teamiphone,apple,apple,True
now that lance has an iphone hes going to start tweeting every aspect of his day in bits and every song that he listens too..oh lord help us,apple,apple,True
now the kids are ever going to get away from my ipad.,apple,none,False
now this #bitch is talented next to me. she got her #coffee in &amp  her hand on the #wheel her #iphone mascara in the other while #driving,none,none,True
now ths review got me liking the ipad mini http://t.co/zyowbpcl,apple,apple,True
@nowtv thanks i can't get any video to play at all on windows8 although it works great on ios,none,none,True
now via ipad... *sombong,apple,none,False
now we know why apple made ipod capable of rotating its screen to correct orientation when turned upside-down  https://t.co/38lgqpxe,apple,none,False
now what  ..apple hit with patent lawsuit over iphone's use of headphones http://t.co/rbyifnzh,apple,none,False
now with us you can unlocke your iphone 3 australia http://t.co/7tpjosk2,apple,apple,True
now*.. yes  mac &amp  cheese 3 sucks though. besides the intro lol .. @just_jayjay1,none,none,True
now you can watch all 485 apple ads in one spot http://t.co/kio0yack #macnews #miscnews #apple,apple,none,False
now you know i have no iphone quit trippin,apple,apple,True
"""now you're just somebody that i used to know..."" #soundtrip #ipod",none,none,True
no you need to go home and eat an apple and workout #fatass,none,none,True
#np again-lenny kravitz https://t.co/uxmtvpuy,none,none,True
#np auburn - perfect two ~coz u'r the apple to my pie..u'r the straw to my berry..u'r the smoke to my high. *love this song..   ,none,none,True
#np - curren$y ft mac miller  cold &gt  &gt  &gt  &gt  &gt  &gt ,none,none,True
#np donald trump---mac miller,none,none,True
#np donald trump - mac miller,none,none,True
#np fleetwood mac -landslide such a heartbreaking/inspiring song time to grow up  self ,none,none,True
np\d7 french montana mac &amp  cheese 3,none,none,True
@npglondon enjoyed the taylor wessing photographic portrait prize 12 gr8t to see an image taken by iphone &amp  also a baby's passport photo :),none,apple,False
#np i love you by apple tree on @bbtweetmedia,none,none,True
np landslide- fleetwood mac   i missed this song  one of my favorites  ),none,none,True
#np led apple - hope,none,none,True
#np led apple - sadness.,none,none,True
#np mac miller-live free,none,none,True
#np mac miller - loud,none,none,True
#np mac miller - missed calls | :'(,none,none,True
np:mac miller-of the soul.,none,none,True
#np manchester united theme song #itunes,none,none,True
#np outside - mac miller,none,none,True
#np perfect two by auburn. ~coz u'r the apple to my pie..u'r the straw to my berry..u'r the smoke to my high. *love this song..   ,none,none,True
@nrdsxx big mac meal upsize drink coke plus apple pie ,none,none,True
@nromiglio @ryanjohns_n yeah right my moms 46 and she steady rocks and iphone.,apple,none,False
nsc accused of frustrating winter sports initiative http://t.co/jdfjgo0m,none,none,True
ntelos has an iphone  how can u have a smartphone  on a dumb network  #counterproductive,apple,apple,True
@nufinite1209 really   cause i could plus 50 votes in 5 min using ipad safari :/,apple,apple,True
"""@nukman lenovo president on apple ""the winners of today will be the losers of tomorrow"" http://t.co/8ixkpcni""",apple,none,False
@nulalanaa hahaha give me chicken wings with apple juice.,none,none,True
@nus wass up mate  need ur help. just wanted to know if a sprint iphone 5 could be unlocked in india ,apple,apple,True
@nuther420 i keep having to fix my ipod lol,apple,apple,True
"""nutmeg was the iphone of the 1600s "" -npr #christmas",apple,apple,True
nuuuu my ipod died no omg nooo,apple,apple,True
@nvkayb_ jamie  he got 2 lab tops the iphone 5 and the lil mini ipad ..i told him he just money crazy,apple,apple,True
nvm i'll buy you an ipad ^-^,apple,apple,True
@nwh1996 then why ipod can't play with ipad ,apple,apple,True
nw   mac &amp &amp  devin go to high school againn  ,none,none,True
@nychealthy first 9/11 then hurricane sandy....damn y'all niggas got rough up in da big apple,none,none,True
nytbits apple and google's tax on developers when two rich and powerful companies go head to head trying to at.. http://t.co/uz3yp9uf,apple,none,False
nytbits apple fires a manager over its misfire on maps apple continues to clean house after it stumbled badly .. http://t.co/stg47uuj,apple,none,False
\ed\a0\bd\ed\b3\b0\ed\a0\bd\ed\b3\b0nytimes apple fires a manager over its misfire on maps http://t.co/r7mkhsy6,apple,none,False
oh and to that girl in the drive in that gave me a free apple pie you've yet to give me my barbecue sauce,none,none,True
"oh ""this is our daughter  we named her apple""",none,none,True
omg go away apple ads  all of you,apple,none,False
one bad apple don't spoil the whole bunch.,none,none,True
one big apple with wrp for lunch (˘ڡ˘),none,none,True
one hell of an apple tv concept http://t.co/dcpff05l,apple,none,False
or pork riblets  apple snitchel flavour  mm yes.,none,none,True
ouch  rt @tuaw_rss apple needs to learn how the internet works before icloud evaporates http://t.co/6i6valkm,apple,none,False
paid apps - 14% in windows store- 35% in google play- 84% in apple app store http://t.co/wmiqzgbn,none,none,True
“@paperboy_63 rt @crayolalucy apple juiceeee   i neeeeedddd apple juice &lt  what you do for it ” / wat u want for it   ,none,none,True
"""patent blow apple hit with patent lawsuit over iphone's use of headphones http://t.co/13k7i06i” #apple #iphone",apple,none,False
patent law is a sham &amp  needs to change “@stevenmusil apple hit with patent lawsuit over iphone's use of headphones http://t.co/gdokxl7p”,apple,none,False
patent troll hits apple for using headphones - gigaom http://t.co/xmjtldbl,apple,none,False
patent troll hits apple for using headphones http://t.co/dggdfle6,apple,none,False
@phoenixalena investments in tech products are worthwhile  especially in apple if not your money will just inflate anyway lol shitdroid.,apple,none,False
(phone arena) the apple iphone 5 is the most searched news story for 2012 on bing http://t.co/jvzt4hlt,apple,apple,True
playing:webbie - shawty know - feat bobby valentino with my apple headphones,apple,none,False
plz flw @redneckrag why you think cnbc's anchors use apple laptops when they've.. http://t.co/nwrifsps,none,none,True
#poppinbottles   sparkling apple cider that is..lol,none,none,True
powergen dual port usb 2.1a 10w ac travel wall charger for apple ipad 2  new ipad 3  iphone 4 4s.. http://t.co/to51xifz,apple,apple,True
price drop doodle devil™ (games) is now free   get it from the apple app store http://t.co/men2f28p,apple,none,False
"""@r0bskii this multi window feature is probably my most favorite lol #galaxynoteii http://t.co/4a5xevph"" t-mobile is shitting on apple",apple,none,False
@ranbiraddict @wakeupchandni umm..go check with apple store then..do you have an apple store there  or the place where you got your phone ,apple,none,False
raw apple cider vinegar: a nutrition superstar via @theorganicblond | @scoopit http://t.co/4j0vpedp #wellness #health #trends #organic,none,none,True
red apple green tea arizona is my favourite &lt 3,none,none,True
remains of the day road to nowhere [foreign-it] - macworld：sapple’s map manager gets shown the door (accurately  we . http://t.co/s4gdm38f,apple,none,False
researching the apple v samsung case // now i can't wait to get a smartphone haha,none,none,True
reuters china's tablet market grows 63 percent in third quarter  apple is king http://t.co/esuoni23,apple,none,False
riding round the city  plastic cup of henny drake voice.. its really goose&amp apple juice tho lol http://t.co/sgey5qfg,none,none,True
@riotironstylus warm up apple cider with cinnimon sticks and add whiskey to your cup when warm you'll feel great,none,none,True
rip my phone.. it's been stuck on the apple screen for like an hour ,none,none,True
rip to your stomach in the am “@and_im_him 3 mcdoubles &amp  4 apple pies grub time”,none,none,True
#rmdo flawed research bolster's #apple in failure http://t.co/wzkm6lya,apple,none,False
@robertmassaioli excuse me  but apples own website says that the people at the bar are geniuses http://t.co/goalvvdj,apple,none,False
roc a wear  baby phat  apple bottom  sean john  aero  mecca  phat farm &amp  southpole .. lmfao #killyoself,none,none,True
rt @adadiskon menyusul google nexus  apple akan merilis iphone seharga rp 2 juta tahun 2014  [article] http://t.co/16czbpfx,apple,apple,True
rt @adamleealter apple rumored to have farewelled exec richard williamson  creator of apple maps http://t.co/is1ek8pg,apple,none,False
rt @alpascual how to build an apple map app for ios using the arcgis runtime sdk for ios http://t.co/zywtknqq via @sharethis,apple,none,False
rt @alysearuthless next time i go over @eatmeimtacosz house   she better have that green apple juice  ,none,none,True
rt @analisenichole “one direction is the apple of my eye no  seriously look.” http://t.co/gb6zwgdh,none,none,True
rt apple awarded patent for its easypay in-store wireless payment technology apple’s patent collection is a lit.. http://t.co/q8dowx0o,apple,none,False
rt @appleglveaway retweet to be entered into our 5th ipad mini giveaway follow @girldaily so we can message you if you win http://t.co ...,apple,apple,True
rt @applemacgeek unofficial apple - apple products top bing's 2012 top search list http://t.co/yajbyxsm,apple,none,False
rt @applenewshub iphone news the top iphone &amp  apple ipad apps on app store.. http://t.co/76emexuz #apple #apps #ipad,apple,apple,True
rt @applenws apple iphone 5 review cpu  gpu  battery  wi-fi  and display testing - tom's hardware guide http://t.co/tewrgdn9 #apple,apple,apple,True
rt @appleofficiai hurry  10 minute iphone 5 giveaway  you have 10 minutes to #retweet and #follow @wethinkforgirls be prepared to check ...,apple,apple,True
rt @appleofficiai hurry  we just got 200 new iphone 5s  and were givin them away fo free  just #follow @menhumor then #retweet  - http ...,apple,apple,True
rt @appleofflclal hurry  we just got 200 new iphone 5s  and were givin them away fo free  just #follow @biackquagmire then #retweet  ...,apple,apple,True
rt @appleplaza apple's cue seeks overhaul of maps amid duel with google http://t.co/cum9irkq,apple,none,False
rt @applespotlight cool rt @dr__kennedy @applespotlight when downloading an app that a website recommends it shows the status in safar ...,apple,none,False
rt @ayysian dressing up as an apple and chasing fat people,none,none,True
"rt @ball4life14 ""@dechaunbrown got my apple juice on deck or white grape or whatever tf it is"" white grape",none,none,True
rt @balmmdogg we have stole #itunes11 from #apple after we insert some bugs  we will release it on #windows8 just don’t tell @notphil ...,apple,none,False
rt @billaut general motors to become first car maker to integrate apple’s siri with new chevrolet models http://t.co/leu1wbph,apple,apple,True
rt @binniemouse apple juice is probably the best juice to come in the juice game ran up and just fucked everything up.,none,none,True
rt @bitchhhgetalife i just ate an apple *tweet* i just tripped lol *tweet* my mom &amp  i got in an arguement *tweet* i love my bae *tw ...,none,none,True
"rt @bitchinleciatur every time i write ""love"" it always comes out ""live""...damn you apple autocorrect  ",apple,none,False
rt @buddytheeeif dear apple  all we want for christmas is a middle finger emoji.sincerely  everyone.,apple,none,False
rt @capndesdes apple didn't fall far from the tree lolll http://t.co/sxnhi50p,none,none,True
rt @chandna why does google crave elites for their management team while apple eschews them  - forbes http://t.co/8nigcwzj,apple,none,False
rt @chubby3fingers i'd fuck a hot pocket before an apple pie #realtalk,none,none,True
rt @ciao_littleone apple juice is just great &gt  &gt  &gt ,none,none,True
rt @clob3ll #oomf apple juice was real good,none,none,True
rt @cnbcnow apple tells manager in charge of maps software to get lost http://t.co/tid5ssiq,apple,none,False
rt @cultofmac apple ipad loses market share to android tablets [report] http://t.co/ppgkjdsk,apple,none,False
rt @davepell seriously though  apple firing its map manager is on the front page of the nyt  are we losing it ,apple,none,False
rt @davidvega3 apple juice is the best kind of juice,none,none,True
rt @delontesteven mcdonalds apple pies are delicious,none,none,True
rt @diaframps beards they grow on you thanks mom...this cup rules &amp  is a perfect place for my apple juice to hang out http://t.co ...,none,none,True
rt @djnezzynezz i swear twitter looks way more interesting on apple products cause they can see emojis instead of just words and boxes ...,apple,none,False
rt @douggy88 @helviscocho my nigga    you gota mix the ice cream with the apple pie #somehighshit  ,none,none,True
"rt @dropajewel ""@chelleychellz_ ` something strongg   mixed   pink   with two green apple jolly ranchers floating ^.^""&lt winning",none,none,True
rt @editorpatented china's #tablet market grows 63 percent in third quarter  #apple is king http://t.co/fhgxcob2,apple,none,False
rt @engadget apple's eddy cue reportedly fires richard williamson  who oversaw the ios 6 maps team - http://t.co/f0muswja,apple,none,False
